freq (Hz),output noise; A / sqrt(Hz) (A / sqrt(Hz))
2.63027E9,167.426E-15
2.75423E9,163.805E-15
2.88403E9,160.142E-15
3.01995E9,156.434E-15
3.16228E9,152.681E-15
3.31131E9,148.883E-15
3.46737E9,145.041E-15
3.63078E9,141.156E-15
3.80189E9,137.233E-15
3.98107E9,133.274E-15
4.16869E9,129.285E-15
4.36516E9,125.270E-15
4.57088E9,121.237E-15
4.78630E9,117.190E-15
5.01187E9,113.138E-15
5.24807E9,109.090E-15
5.49541E9,105.051E-15
5.75440E9,101.030E-15
6.02560E9,97.0415E-15
6.30957E9,93.0754E-15
6.60693E9,89.1599E-15
6.91831E9,85.2939E-15
7.24436E9,81.4877E-15
7.58578E9,77.7382E-15
7.94328E9,74.0661E-15
8.31764E9,70.4769E-15
8.70964E9,66.9616E-15
9.12011E9,63.5401E-15
9.54993E9,60.2198E-15
10.0000E9,57.0051E-15
